City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
289,Semirom,IR,2020-10-29 15:30:29,31.42,51.57,37.83,69,0,3.62
290,Taltal,CL,2020-10-29 15:30:20,-25.4,-70.48,63.43,58,14,6.29
291,Lienz,AT,2020-10-29 15:30:30,46.83,12.77,48.2,66,90,4.94
292,Vila Franca Do Campo,PT,2020-10-29 15:30:30,37.72,-25.43,69.8,88,75,17.22
293,Bambanglipuro,ID,2020-10-29 15:30:30,-7.95,110.28,78.48,87,66,3.22
294,Fort Nelson,CA,2020-10-29 15:30:30,58.81,-122.7,23.0,92,75,3.36
295,Taraz,KZ,2020-10-29 15:30:31,42.9,71.37,33.8,55,20,6.71
296,Berlevag,NO,2020-10-29 15:30:31,70.86,29.09,37.4,81,75,24.16
297,Vanimo,PG,2020-10-29 15:30:31,-2.67,141.3,78.89,85,100,6.29
298,Caravelas,BR,2020-10-29 15:30:31,-17.71,-39.25,84.13,64,85,13.98
299,Waddan,LY,2020-10-29 15:30:31,29.16,16.14,70.39,36,0,8.48
300,Risor,NO,2020-10-29 15:30:32,58.72,9.23,50.0,76,40,4.7
